Entity,Code,Year,Sugar beet | 00000157 || Production | 005510 || tonnes
Afghanistan,AFG,1961,42400
Afghanistan,AFG,1962,60456
Afghanistan,AFG,1963,56225
Afghanistan,AFG,1964,31000
Afghanistan,AFG,1965,56000
Afghanistan,AFG,1966,56000
Afghanistan,AFG,1967,67000
Afghanistan,AFG,1968,62000
Afghanistan,AFG,1969,68000
Afghanistan,AFG,1970,62000
Afghanistan,AFG,1971,60000
Afghanistan,AFG,1972,63300
Afghanistan,AFG,1973,57000
Afghanistan,AFG,1974,66600
Afghanistan,AFG,1975,108500
Afghanistan,AFG,1976,90900
Afghanistan,AFG,1977,97000
Afghanistan,AFG,1978,73000
Afghanistan,AFG,1979,70000
Afghanistan,AFG,1980,35000
Afghanistan,AFG,1981,20000
Afghanistan,AFG,1982,20000
Afghanistan,AFG,1983,16000
Afghanistan,AFG,1984,26000
Afghanistan,AFG,1985,5000
Afghanistan,AFG,1986,5000
Afghanistan,AFG,1987,3000
Afghanistan,AFG,1988,3000
Afghanistan,AFG,1989,3500
Afghanistan,AFG,1990,1500
Afghanistan,AFG,1991,1000
Afghanistan,AFG,1992,1000
Afghanistan,AFG,1993,1000
Afghanistan,AFG,1994,1000
Afghanistan,AFG,1995,1000
Afghanistan,AFG,1996,1000
Afghanistan,AFG,1997,1000
Afghanistan,AFG,1998,1000
Afghanistan,AFG,1999,1000
Afghanistan,AFG,2000,1000
Afghanistan,AFG,2001,1000
Afghanistan,AFG,2002,1000
Afghanistan,AFG,2003,1000
Afghanistan,AFG,2004,5000
Afghanistan,AFG,2005,3000
Afghanistan,AFG,2006,3000
Afghanistan,AFG,2007,12938
Afghanistan,AFG,2008,13316
Afghanistan,AFG,2009,16500
Afghanistan,AFG,2010,15200
Afghanistan,AFG,2011,15236
Afghanistan,AFG,2012,14064
Afghanistan,AFG,2013,14765
Afghanistan,AFG,2014,11330
Afghanistan,AFG,2015,4495
Afghanistan,AFG,2016,1582
Afghanistan,AFG,2017,2102
Afghanistan,AFG,2018,5363
Afghanistan,AFG,2019,9284
Afghanistan,AFG,2020,5032
Africa,,1961,106020
Africa,,1962,103419
Africa,,1963,125753
Africa,,1964,241420
Africa,,1965,226499
Africa,,1966,463968
Africa,,1967,467126
Africa,,1968,858213
Africa,,1969,1053022
Africa,,1970,1206908
Africa,,1971,1713902
Africa,,1972,1745004
Africa,,1973,1378060
Africa,,1974,2048350
Africa,,1975,1911050
Africa,,1976,2490110
Africa,,1977,1651863
Africa,,1978,2542945
Africa,,1979,2422890
Africa,,1980,2468841
Africa,,1981,2340765
Africa,,1982,2629599
Africa,,1983,3001089
Africa,,1984,3307600
Africa,,1985,3091800
Africa,,1986,3548800
Africa,,1987,3777800
Africa,,1988,3971786
Africa,,1989,3813757
Africa,,1990,3840035
Africa,,1991,4352531
Africa,,1992,3788753
Africa,,1993,4101900
Africa,,1994,4199896
Africa,,1995,3907326
Africa,,1996,3896627
Africa,,1997,4023860
Africa,,1998,4916511
Africa,,1999,5885388
Africa,,2000,5794460
Africa,,2001,5693660
